type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,recommended
2.0,7.0,4.0,4.0,2.0,3.0,2.0,1
2.0,1.0,1.0,2.0,2.0,2.0,2.0,0
2.0,4.0,1.0,2.0,2.0,1.0,2.0,0
2.0,2.0,1.0,3.0,2.0,2.0,2.0,0
2.0,5.0,2.0,3.0,2.0,2.0,2.0,0
2.0,4.0,1.0,2.0,2.0,3.0,2.0,0
2.0,4.0,1.0,3.0,2.0,2.0,2.0,0
2.0,3.0,2.0,4.0,2.0,3.0,2.0,0
2.0,4.0,1.0,3.0,2.0,2.0,2.0,0
2.0,4.0,1.0,3.0,2.0,1.0,2.0,0
2.0,1.0,2.0,2.0,2.0,1.0,2.0,0
2.0,3.0,3.0,3.0,2.0,2.0,2.0,0
2.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,5.0,1.0,3.0,2.0,1.0,2.0,0
2.0,1.0,1.0,2.0,2.0,1.0,2.0,0
2.0,9.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,3.0,2.0,2.0,2.0,2.0,0
2.0,1.0,1.0,3.0,2.0,2.0,2.0,0
2.0,4.0,2.0,5.0,2.0,5.0,2.0,0
2.0,8.0,3.0,5.0,2.0,4.0,2.0,1
2.0,4.0,1.0,2.0,2.0,1.0,2.0,0
2.0,3.0,3.0,3.0,2.0,2.0,2.0,0
2.0,7.0,5.0,4.0,2.0,3.0,2.0,1
2.0,5.0,2.0,4.0,2.0,1.0,2.0,0
2.0,2.0,1.0,4.0,2.0,3.0,2.0,0
2.0,3.0,2.0,2.0,2.0,2.0,2.0,0
2.0,6.0,4.0,4.0,2.0,3.0,2.0,0
2.0,2.0,1.0,3.0,2.0,3.0,2.0,0
2.0,4.0,5.0,5.0,2.0,1.0,2.0,0
2.0,3.0,3.0,3.0,2.0,2.0,2.0,0
2.0,3.0,3.0,4.0,2.0,3.0,2.0,0
2.0,5.0,4.0,4.0,2.0,3.0,2.0,0
2.0,2.0,3.0,2.0,2.0,1.0,2.0,0
2.0,7.0,4.0,4.0,2.0,3.0,2.0,1
2.0,5.0,4.0,5.0,2.0,3.0,2.0,1
2.0,7.0,3.0,3.0,2.0,3.0,2.0,1
2.0,1.0,3.0,3.0,2.0,2.0,2.0,0
2.0,4.0,1.0,5.0,2.0,3.0,2.0,0
2.0,2.0,1.0,2.0,2.0,1.0,2.0,0
2.0,7.0,4.0,4.0,2.0,4.0,2.0,1
2.0,9.0,5.0,5.0,2.0,5.0,2.0,1
2.0,8.0,4.0,5.0,2.0,4.0,2.0,1
2.0,8.0,4.0,4.0,2.0,4.0,2.0,1
2.0,5.0,3.0,4.0,2.0,2.0,2.0,0
2.0,3.0,4.0,3.0,2.0,3.0,2.0,0
2.0,10.0,4.0,4.0,2.0,4.0,2.0,1
2.0,5.0,3.0,5.0,2.0,2.0,2.0,0
2.0,9.0,5.0,5.0,2.0,4.0,2.0,1
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,1.0,1.0,2.0,1.0,2.0,0
2.0,2.0,3.0,3.0,2.0,1.0,2.0,0
2.0,5.0,5.0,5.0,2.0,5.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,1.0,1.0,2.0,1.0,2.0,0
2.0,2.0,1.0,1.0,2.0,1.0,2.0,0
2.0,3.0,5.0,5.0,2.0,3.0,2.0,0
2.0,3.0,5.0,5.0,2.0,3.0,2.0,0
2.0,4.0,3.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,5.0,2.0,1.0,2.0,0
2.0,3.0,1.0,3.0,2.0,1.0,2.0,0
2.0,2.0,3.0,3.0,2.0,1.0,2.0,0
2.0,3.0,3.0,5.0,2.0,3.0,2.0,0
2.0,5.0,3.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,5.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,1.0,2.0,0
2.0,4.0,5.0,5.0,2.0,5.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,6.0,2.0,3.0,2.0,1.0,2.0,0
2.0,2.0,1.0,3.0,2.0,1.0,2.0,0
2.0,3.0,3.0,3.0,2.0,1.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,2.0,3.0,2.0,2.0,2.0,0
2.0,3.0,3.0,3.0,2.0,2.0,2.0,0
2.0,5.0,2.0,2.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,1.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
2.0,1.0,3.0,2.0,1.0,1.0,2.0,0
2.0,8.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,1.0,2.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,1.0,2.0,0
2.0,5.0,2.0,3.0,2.0,2.0,2.0,0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
2.0,2.0,1.0,2.0,2.0,1.0,2.0,0
2.0,2.0,2.0,2.0,2.0,1.0,2.0,0
2.0,2.0,1.0,2.0,2.0,2.0,2.0,0
2.0,3.0,3.0,2.0,2.0,1.0,2.0,0
2.0,4.0,3.0,1.0,2.0,1.0,2.0,0
2.0,4.0,1.0,2.0,2.0,2.0,2.0,0
2.0,3.0,2.0,3.0,2.0,2.0,2.0,0
2.0,3.0,1.0,1.0,2.0,2.0,2.0,0
2.0,4.0,1.0,1.0,2.0,3.0,2.0,0
2.0,8.0,4.0,4.0,2.0,4.0,2.0,1
2.0,7.0,4.0,4.0,2.0,3.0,2.0,1
2.0,4.0,3.0,3.0,2.0,2.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,1.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,5.0,2.0,1.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,8.0,4.0,4.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,4.0,2.0,1
2.0,2.0,4.0,4.0,2.0,3.0,2.0,0
2.0,5.0,3.0,5.0,2.0,3.0,2.0,1
2.0,9.0,4.0,5.0,2.0,4.0,2.0,1
2.0,8.0,3.0,5.0,2.0,5.0,2.0,1
2.0,1.0,1.0,4.0,2.0,3.0,2.0,0
2.0,4.0,2.0,5.0,2.0,3.0,2.0,0
2.0,7.0,3.0,4.0,2.0,3.0,2.0,1
2.0,7.0,3.0,5.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,5.0,2.0,1
2.0,5.0,2.0,5.0,2.0,2.0,2.0,0
2.0,8.0,4.0,4.0,2.0,4.0,2.0,1
2.0,8.0,4.0,5.0,2.0,3.0,2.0,1
2.0,9.0,4.0,5.0,2.0,4.0,2.0,1
2.0,5.0,1.0,5.0,2.0,4.0,2.0,1
2.0,4.0,4.0,4.0,2.0,3.0,2.0,1
2.0,5.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,5.0,5.0,2.0,5.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,7.0,3.0,5.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,8.0,4.0,5.0,2.0,3.0,2.0,1
2.0,4.0,2.0,1.0,2.0,1.0,2.0,0
2.0,7.0,4.0,4.0,2.0,4.0,2.0,1
2.0,10.0,3.0,5.0,2.0,4.0,2.0,1
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,6.0,3.0,5.0,3.0,3.0,2.0,1
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,9.0,5.0,5.0,2.0,4.0,2.0,1
2.0,5.0,5.0,5.0,2.0,5.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,4.0,4.0,2.0,3.0,2.0,0
2.0,9.0,4.0,5.0,2.0,4.0,2.0,1
2.0,2.0,2.0,3.0,2.0,3.0,2.0,0
2.0,7.0,4.0,5.0,2.0,3.0,2.0,1
2.0,8.0,5.0,5.0,2.0,5.0,2.0,1
2.0,9.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,5.0,5.0,2.0,3.0,2.0,0
2.0,3.0,1.0,3.0,2.0,3.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,3.0,3.0,2.0,3.0,2.0,0
2.0,9.0,5.0,5.0,2.0,4.0,2.0,1
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,4.0,5.0,2.0,3.0,2.0,0
2.0,7.0,4.0,5.0,2.0,3.0,2.0,1
2.0,4.0,5.0,5.0,2.0,5.0,2.0,0
2.0,4.0,5.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,5.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,1.0,3.0,2.0,2.0,2.0,0
2.0,4.0,2.0,5.0,2.0,2.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,1
2.0,9.0,4.0,5.0,2.0,5.0,2.0,1
2.0,4.0,2.0,3.0,2.0,3.0,2.0,1
2.0,7.0,4.0,4.0,2.0,4.0,2.0,1
2.0,7.0,4.0,5.0,2.0,3.0,2.0,1
2.0,2.0,3.0,4.0,2.0,2.0,2.0,0
2.0,7.0,5.0,4.0,2.0,4.0,2.0,1
2.0,5.0,2.0,4.0,2.0,4.0,2.0,1
2.0,4.0,2.0,3.0,2.0,1.0,2.0,0
2.0,2.0,3.0,4.0,2.0,4.0,2.0,0
2.0,8.0,4.0,5.0,2.0,4.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,5.0,2.0,5.0,2.0,0
2.0,4.0,5.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,10.0,5.0,5.0,2.0,5.0,2.0,1
2.0,7.0,4.0,4.0,2.0,3.0,2.0,1
2.0,5.0,5.0,5.0,2.0,5.0,2.0,0
2.0,4.0,3.0,2.0,2.0,2.0,2.0,0
2.0,4.0,3.0,3.0,2.0,2.0,2.0,0
2.0,3.0,4.0,3.0,2.0,2.0,2.0,0
2.0,1.0,2.0,1.0,2.0,1.0,2.0,0
2.0,3.0,1.0,3.0,2.0,2.0,2.0,0
2.0,2.0,3.0,1.0,2.0,1.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,5.0,5.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,5.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,9.0,5.0,5.0,2.0,5.0,2.0,1
2.0,10.0,4.0,5.0,2.0,4.0,2.0,1
2.0,8.0,4.0,4.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,5.0,2.0,1
2.0,10.0,5.0,5.0,2.0,4.0,2.0,1
2.0,1.0,2.0,5.0,2.0,4.0,2.0,0
2.0,8.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,1.0,4.0,2.0,3.0,2.0,0
2.0,1.0,1.0,1.0,2.0,4.0,2.0,0
2.0,8.0,4.0,5.0,2.0,4.0,2.0,1
2.0,4.0,4.0,3.0,2.0,3.0,2.0,1
2.0,9.0,4.0,4.0,2.0,4.0,2.0,1
2.0,6.0,4.0,4.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,5.0,2.0,1
2.0,7.0,4.0,5.0,2.0,5.0,2.0,1
2.0,4.0,1.0,1.0,2.0,2.0,2.0,0
2.0,8.0,5.0,5.0,2.0,4.0,2.0,1
2.0,10.0,5.0,5.0,2.0,5.0,2.0,1
2.0,2.0,2.0,2.0,2.0,3.0,2.0,0
2.0,1.0,2.0,1.0,2.0,3.0,2.0,0
2.0,4.0,1.0,2.0,2.0,1.0,2.0,0
2.0,2.0,1.0,2.0,2.0,2.0,2.0,0
2.0,2.0,3.0,3.0,2.0,2.0,2.0,0
2.0,2.0,1.0,3.0,2.0,2.0,2.0,0
2.0,6.0,3.0,3.0,2.0,3.0,2.0,1
2.0,6.0,2.0,3.0,2.0,3.0,2.0,1
2.0,4.0,3.0,1.0,2.0,2.0,2.0,0
2.0,3.0,3.0,3.0,2.0,1.0,2.0,0
2.0,2.0,5.0,1.0,2.0,1.0,2.0,0
2.0,4.0,5.0,5.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
2.0,2.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,9.0,5.0,5.0,2.0,2.0,1.0,1
2.0,1.0,2.0,3.0,2.0,2.0,2.0,0
2.0,10.0,5.0,4.0,2.0,3.0,2.0,1
2.0,6.0,5.0,3.0,2.0,3.0,2.0,1
2.0,9.0,4.0,5.0,2.0,3.0,2.0,1
2.0,4.0,3.0,3.0,2.0,3.0,2.0,0
2.0,1.0,3.0,3.0,2.0,3.0,2.0,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,0
